Codigo especie,Province,Locality,Toponim,Latitude / Y,Longitude / X,Altitude,Min. altitude,Max. altitude,Ecosistem,Source,Year of publication,Year of collection,Authors,Morfometrics,Ecology,Behaviour,Call
190,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
131,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
475,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
448,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
443,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
384,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
251,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
693,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
76,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
41,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
220,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
117,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
180,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
594,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
455,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
328,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
225,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
616,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
615,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
282,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
311,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
2,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
3,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
1,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
85,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
87,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
86,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
380,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
586,3,Piñas,Buenaventura,"-3,66",-79771,null,500,1150,null,Field data,2008,2007,1,no,no,no,no
