CodigoEspecie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
UTPL_A0001,30,Aburria aburri,Wattled Guan,null,0,null,null
UTPL_A0002,37,Accipiter bicolor,Bicolored Hawk,null,1,null,null
UTPL_A0004,37,Accipiter superciliosus,Tiny Hawk,null,1,null,null
UTPL_A0005,37,Accipiter ventralis,Plain-breasted Hawk,null,0,null,null
UTPL_A0006,40,Actitis macularius,Spotted Sandpiper,null,1,null,MB
UTPL_A0007,48,Adelomyia melanogenys,Speckled Hummingbird,null,1,null,null
UTPL_A0008,47,Aeronautes montivagus,White-tipped Swift,null,1,null,null
UTPL_A0009,48,Aglaeactis cupripennis,Shining Sunbeam,null,1,null,null
UTPL_A0010,48,Aglaiocercus coelestis,Violet-tailed Sylph,null,1,null,null
UTPL_A0011,48,Aglaiocercus kingi,Long-tailed Sylph,null,1,null,null
UTPL_A0012,62,Agriornis albicauda, White-tailed shrike-tyrant,null,2,null,null
UTPL_A0013,38,Amaurolimnas concolor,Uniform Crake,null,0,null,null
UTPL_A0014,76,Amaurospiza concolor,Blue Seedeater,null,0,null,null
UTPL_A0015,48,Amazilia amabilis,Blue-chested Hummingbird,null,0,null,null
UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
UTPL_A0017,48,Amazilia franciae,Andean Emerald,null,1,null,null
UTPL_A0018,48,Amazilia rosenbergi,Purple-chested Hummingbird,null,0,B-Ch,null
UTPL_A0019,48,Amazilia tzacatl,Rufous-tailed Hummingbird,null,1,null,null
UTPL_A0020,56,Amazona autumnalis,Red-lored Parrot,null,0,null,null
UTPL_A0021,56,Amazona farinosa,Mealy Amazon,null,0,null,null
UTPL_A0022,78,Amblycercus holosericeus,Yellow-billed Cacique,null,1,null,null
UTPL_A0024,63,Ampelioides tschudii,Scaled Fruiteater,null,1,null,null
UTPL_A0025,63,Ampelion rubrocristatus,Red-crested Cotinga,null,1,null,null
UTPL_A0027,61,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,null,1,null,null
UTPL_A0028,62,Anairetes nigrocristatus,Black-crested Tit-Tyrant,null,1,S-SO,null
UTPL_A0029,62,Anairetes parulus,Tufted Tit-Tyrant,null,1,null,null
UTPL_A0031,82,Anas bahamensis,White-cheeked Pintail,null,1,null,null
UTPL_A0032,82,Anas cyanoptera,Cinnamon Teal,null,0,null,MB-D
UTPL_A0033,82,Anas discors,Blue-winged Teal,null,1,null,MB
UTPL_A0034,82,Anas georgica,Yellow-billed Pintail,null,0,null,null
UTPL_A0035,53,Andigena hypoglauca,Gray-breasted Mountain-Toucan,null,3,null,null
UTPL_A0036,73,Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,null,1,null,null
UTPL_A0037,73,Anisognathus notabilis,Black-chinned Mountain-Tanager,null,1,LOcA,null
UTPL_A0038,48,Anthracothorax nigricollis,Black-throated Mango,null,0,null,null
UTPL_A0040,40,Aphriza virgata,Surfbird,null,0,null,MB
UTPL_A0041,56,Ara ambiguus,Great Green Macaw,null,0,null,null
UTPL_A0042,56,Ara severus,Chestnut-fronted Macaw,null,0,null,null
UTPL_A0043,38,Aramides axillaris,Rufous-necked Wood-Rail,null,1,null,null
UTPL_A0044,38,Aramides wolfi,Brown Wood-Rail,null,0,B-Ch,null
UTPL_A0045,109,Aramus guarauna,Limpkin,null,0,null,null
UTPL_A0046,56,Aratinga weddellii,Dusky-headed Parakeet,null,1,null,null
UTPL_A0047,34,Ardea alba,Great Egret,null,1,null,MB - C ?
UTPL_A0048,34,Ardea cocoi,Cocoi Heron,null,1,null,null
UTPL_A0049,34,Ardea herodias,Great Blue Heron,null,1,null,MB - D
UTPL_A0050,40,Arenaria interpres,Ruddy Turnstone,null,0,null,MB
UTPL_A0051,75,Arremon abeillei,Black-capped Sparrow,null,1,BT - RM,null
UTPL_A0052,75,Arremon assimilis,Gray-browed Brush-Finch,null,0,null,null
UTPL_A0053,75,Arremon aurantiirostris,Orange-billed Sparrow,null,1,null,null
UTPL_A0054,75,Arremon brunneinucha,Chestnut-capped Brush-Finch,Atlapetes brunneinucha,1,null,null
UTPL_A0056,75,Arremonops conirostris,Black-striped Sparrow,null,1,null,null
UTPL_A0057,43,Asio flammeus,Short-eared Owl,null,0,null,null
UTPL_A0059,61,Asthenes flammulata,Many-striped Canastero,null,1,null,null
UTPL_A0060,61,Asthenes griseomurina,Mouse-colored Thistletail,Schizoeaca griseomurina�,1,LVI,null
UTPL_A0062,79,Astragalinus psaltria,Lesser Goldfinch,null,0,null,null
UTPL_A0063,43,Athene cunicularia,Burrowing Owl,Speotyto cunicularia,0,null,null
