Codigo especie,Province,Year of collection,Year of publication,Ecosistem,Behaviour,Call,Ecology,Authors,Toponim,Morfometrics,Locality,Altitude,Latitude / Y,Longitude / X,Min. altitude,Max. altitude,Source
190,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
131,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
475,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
448,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
443,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
384,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
251,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
693,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
76,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
41,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
220,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
117,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
180,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
594,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
455,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
328,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
225,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
616,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
615,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
282,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
311,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
2,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
3,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
1,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
85,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
87,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
86,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
380,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
586,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
266,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
552,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
81,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
82,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
80,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
83,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
79,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
321,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
238,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
4,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
169,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
154,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
464,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
467,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
469,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
744,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
333,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
332,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
331,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
263,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
264,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
157,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
511,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
158,3,2007,2008,null,no,no,no,1,Buenaventura,no,Piñas,0,"-3,66",-79771,500,1150,Field data
