Codigo especie,familia,Species,Name,Synonim,UICN,Endemismo,Migracion
UTPL_A0001,Cracidae,Aburria aburri,Wattled Guan,null,null,null,null
UTPL_A0002,Accipitridae,Accipiter bicolor,Bicolored Hawk,null,LC,null,null
UTPL_A0004,Accipitridae,Accipiter superciliosus,Tiny Hawk,null,LC,null,null
UTPL_A0005,Accipitridae,Accipiter ventralis,Plain-breasted Hawk,null,null,null,null
UTPL_A0006,Scolopacidae,Actitis macularius,Spotted Sandpiper,null,LC,null,MB
UTPL_A0007,Trochilidae,Adelomyia melanogenys,Speckled Hummingbird,null,LC,null,null
UTPL_A0008,Apodidae,Aeronautes montivagus,White-tipped Swift,null,LC,null,null
UTPL_A0009,Trochilidae,Aglaeactis cupripennis,Shining Sunbeam,null,LC,null,null
UTPL_A0010,Trochilidae,Aglaiocercus coelestis,Violet-tailed Sylph,null,LC,null,null
UTPL_A0011,Trochilidae,Aglaiocercus kingi,Long-tailed Sylph,null,LC,null,null
UTPL_A0012,Tyrannidae,Agriornis albicauda, White-tailed shrike-tyrant,null,VU,null,null
UTPL_A0013,Rallidae,Amaurolimnas concolor,Uniform Crake,null,null,null,null
UTPL_A0014,Cardinalidae,Amaurospiza concolor,Blue Seedeater,null,null,null,null
UTPL_A0015,Trochilidae,Amazilia amabilis,Blue-chested Hummingbird,null,null,null,null
UTPL_A0016,Trochilidae,Amazilia amazilia,Amazilia Hummingbird,null,LC,null,null
UTPL_A0017,Trochilidae,Amazilia franciae,Andean Emerald,null,LC,null,null
UTPL_A0018,Trochilidae,Amazilia rosenbergi,Purple-chested Hummingbird,null,null,B-Ch,null
UTPL_A0019,Trochilidae,Amazilia tzacatl,Rufous-tailed Hummingbird,null,LC,null,null
UTPL_A0020,Psittacidae,Amazona autumnalis,Red-lored Parrot,null,null,null,null
UTPL_A0021,Psittacidae,Amazona farinosa,Mealy Amazon,null,null,null,null
UTPL_A0022,Icteridae,Amblycercus holosericeus,Yellow-billed Cacique,null,LC,null,null
UTPL_A0024,Cotingidae,Ampelioides tschudii,Scaled Fruiteater,null,LC,null,null
UTPL_A0025,Cotingidae,Ampelion rubrocristatus,Red-crested Cotinga,null,LC,null,null
UTPL_A0027,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,null,LC,null,null
UTPL_A0028,Tyrannidae,Anairetes nigrocristatus,Black-crested Tit-Tyrant,null,LC,S-SO,null
UTPL_A0029,Tyrannidae,Anairetes parulus,Tufted Tit-Tyrant,null,LC,null,null
UTPL_A0031,Anatidae,Anas bahamensis,White-cheeked Pintail,null,LC,null,null
UTPL_A0032,Anatidae,Anas cyanoptera,Cinnamon Teal,null,null,null,MB-D
UTPL_A0033,Anatidae,Anas discors,Blue-winged Teal,null,LC,null,MB
UTPL_A0034,Anatidae,Anas georgica,Yellow-billed Pintail,null,null,null,null
UTPL_A0035,Ramphastidae,Andigena hypoglauca,Gray-breasted Mountain-Toucan,null,NT,null,null
UTPL_A0036,Thraupidae,Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,null,LC,null,null
UTPL_A0037,Thraupidae,Anisognathus notabilis,Black-chinned Mountain-Tanager,null,LC,LOcA,null
UTPL_A0038,Trochilidae,Anthracothorax nigricollis,Black-throated Mango,null,null,null,null
UTPL_A0040,Scolopacidae,Aphriza virgata,Surfbird,null,null,null,MB
UTPL_A0041,Psittacidae,Ara ambiguus,Great Green Macaw,null,null,null,null
UTPL_A0042,Psittacidae,Ara severus,Chestnut-fronted Macaw,null,null,null,null
UTPL_A0043,Rallidae,Aramides axillaris,Rufous-necked Wood-Rail,null,LC,null,null
UTPL_A0044,Rallidae,Aramides wolfi,Brown Wood-Rail,null,null,B-Ch,null
UTPL_A0045,Aramidae,Aramus guarauna,Limpkin,null,null,null,null
UTPL_A0046,Psittacidae,Aratinga weddellii,Dusky-headed Parakeet,null,LC,null,null
UTPL_A0047,Ardeidae,Ardea alba,Great Egret,null,LC,null,MB - C ?
UTPL_A0048,Ardeidae,Ardea cocoi,Cocoi Heron,null,LC,null,null
UTPL_A0049,Ardeidae,Ardea herodias,Great Blue Heron,null,LC,null,MB - D
UTPL_A0050,Scolopacidae,Arenaria interpres,Ruddy Turnstone,null,null,null,MB
UTPL_A0051,Emberizidae,Arremon abeillei,Black-capped Sparrow,null,LC,BT - RM,null
