nombre,dependencia
Aves,1
Tinamiformes,1
Galliformes,1
Ciconiiformes,1
Suliformes,1
Pelecaniformes,1
Cathartiformes,1
Accipitriformes,1
Gruiformes,1
Eurypygiformes,1
Charadriiformes,1
Columbiformes,1
Cuculiformes,1
Strigiformes,1
Caprimulgiformes,1
Apodiformes,1
Trogoniformes,1
Coraciiformes,1
Galbuliformes,1
Piciformes,1
Falconiformes,1
Psittaciformes,1
Passeriformes,1
Anseriformes,1
Podicipediformes,1
Phoenicopteriformes,1
Procellariiformes,1
Phaethontiformes,1
Tinamidae,2
Cracidae,3
Odontophoridae,3
Ciconiidae,4
Fregatidae,5
Ardeidae,6
Cathartidae,7
Pandionidae,8
Accipitridae,8
Rallidae,9
Eurypygidae,10
Scolopacidae,11
Columbidae,12
Cuculidae,13
Strigidae,14
Steatornithidae,15
Nyctibiidae,15
Caprimulgidae,15
Apodidae,16
Trochilidae,16
Trogonidae,17
Alcedinidae,18
Momotidae,18
Bucconidae,19
Ramphastidae,20
Picidae,20
Falconidae,21
Psittacidae,22
Thamnophilidae,23
Melanopareiidae,23
Grallariidae,23
Formicariidae,23
Furnariidae,23
Tyrannidae,23
Cotingidae,23
Pipridae,23
Tityridae,23
Vireonidae,23
Corvidae,23
Hirundinidae,23
Troglodytidae,23
Polioptilidae,23
Cinclidae,23
Turdidae,23
Thraupidae,23
Incertae Sedis,23
Emberizidae,23
Cardinalidae,23
Parulidae,23
Icteridae,23
Fringillidae,23
Tytonidae,14
Rhinocryptidae,23
Anatidae,24
Phalacrocoracidae,5
Mimidae,23
Charadriidae,11
Podicipedidae,25
Phoenicopteridae,26
Pelecanidae,6
Threskiornithidae,6
Recurvirostridae,11
Jacanidae,11
Laridae,11
Diomedeidae,27
Procellariidae,27
Hydrobatidae,27
Phaethontidae,28
Sulidae,5
Passeridae,23
Haematopodidae,11
Burhinidae,11
Thinocoridae,11
Rynchopidae,11
Capitonidae,20
Galbulidae,19
Conopophagidae,23
Motacillidae,23
Pelecanoididae,27
Anhingidae,5
Aramidae,9
Anhimidae,24
Semnornithidae,20
