especie,url
112,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/10. Caracara cheriway/MS/DSC09724 (MS).JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09802(MS).JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09803(MS).JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09804(MS).JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5130.JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5131.JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5136.JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5137.JPG
169,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/15. Columbina buckleyi/MS/hembra
170,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/16. Columbina cruziana/MS/macho
333,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/17. Leptotila verreaxi/MS/DSC09674(MS).JPG
333,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/17. Leptotila verreaxi/MS/DSC09675(MS).JPG
333,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/17. Leptotila verreaxi/MS/DSC09676(MS).JPG
333,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/17. Leptotila verreaxi/MS/DSC09677(MS).JPG
250,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/19. Forpus coelestis/MS/macho
186,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09538(MS).JPG
186,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09543(MS).JPG
186,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09544(MS).JPG
186,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09545(MS).JPG
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/MS/DSC01124 (MS).JPG
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/MS/DSC01128 (MS).JPG
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/Glaucidium peruanum 2.jpg
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/Glaucidium peruanum 3.jpg
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/Glaucidium peruanum.jpg
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/IMG_3573.JPG
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/IMG_3580.JPG
269,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/21. Glacidium peruanum/SE/IMG_3581.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/MS/DSC09737(MS).JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/MS/DSC09739 (Otus roboratus).JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/MS/Otus roboratus(MS).JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4841.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4849.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4851.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4854.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4855.JPG
360,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/22. Otus roboratus/SE/IMG_4857.JPG
