id,Codigo Especie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
1,UTPL_A0222,29,Crypturellus soui,Little Tinamou,null,1,null,null
2,UTPL_A0151,30,Chamaepetes goudotii,Sickle-winged Guan,null,1,null,null
3,UTPL_A0547,30,Penelope purpurascens,Crested Guan,null,1,null,null
4,UTPL_A0520,30,Ortalis erythroptera,Rufous-headed Chachalaca,null,2,BT - RM,null
5,UTPL_A0513,31,Odontophorus erythrops,Rufous-fronted Wood-Quail,null,1,null,null
6,UTPL_A0452,32,Mycteria americana,Wood Stork,null,1,null,null
7,UTPL_A0293,33,Fregata magnificens,Magnificent Frigatebird,null,1,null,null
8,UTPL_A0793,34,Tigrisoma fasciatum,Fasciated Tiger-Heron,null,1,null,null
9,UTPL_A0088,34,Bubulcus ibis,Cattle Egret,null,1,null,MB - C ?
10,UTPL_A0047,34,Ardea alba,Great Egret,null,1,null,MB - C ?
11,UTPL_A0259,34,Egretta thula,Snowy Egret,null,1,null,null
12,UTPL_A0134,35,Cathartes aura,Turkey Vulture,null,1,null,MB - C 
13,UTPL_A0210,35,Coragyps atratus,Black Vulture,null,1,null,null
14,UTPL_A0681,35,Sarcoramphus papa,King Vulture,null,1,null,null
15,UTPL_A0527,36,Pandion haliaetus,Osprey,null,1,null,MB
16,UTPL_A0388,37,Leptodon cayanensis,Gray-headed Kite,null,1,null,null
17,UTPL_A0265,37,Elanoides forficatus,Swallow-tailed Kite,null,1,null,MB - C 
18,UTPL_A0707,37,Spizaetus tyrannus,Black Hawk-Eagle,null,1,null,null
19,UTPL_A0706,37,Spizaetus ornatus,Ornate Hawk-Eagle,null,3,null,null
20,UTPL_A0333,37,Harpagus bidentatus,Double-toothed Kite,null,1,null,null
21,UTPL_A0366,37,Ictinia plumbea,Plumbeous Kite,null,1,null,MB - C ?
22,UTPL_A0004,37,Accipiter superciliosus,Tiny Hawk,null,1,null,null
23,UTPL_A0005,37,Accipiter ventralis,Plain-breasted Hawk,null,null,null,null
24,UTPL_A0002,37,Accipiter bicolor,Bicolored Hawk,null,1,null,null
25,UTPL_A0097,37,Buteogallus meridionalis,Savanna Hawk,null,1,null,null
26,UTPL_A0099,37,Buteogallus urubitinga,Great Black-Hawk,null,1,null,null
27,UTPL_A0098,37,Buteogallus solitarius,Solitary Eagle,null,3,null,null
