,CodigoEspecie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
0,UTPL_A0001,30,Aburria aburri,Wattled Guan,null,0,null,null
1,UTPL_A0002,37,Accipiter bicolor,Bicolored Hawk,null,1,null,null
2,UTPL_A0004,37,Accipiter superciliosus,Tiny Hawk,null,1,null,null
3,UTPL_A0005,37,Accipiter ventralis,Plain-breasted Hawk,null,0,null,null
4,UTPL_A0006,40,Actitis macularius,Spotted Sandpiper,null,1,null,MB
5,UTPL_A0007,48,Adelomyia melanogenys,Speckled Hummingbird,null,1,null,null
6,UTPL_A0008,47,Aeronautes montivagus,White-tipped Swift,null,1,null,null
7,UTPL_A0009,48,Aglaeactis cupripennis,Shining Sunbeam,null,1,null,null
8,UTPL_A0010,48,Aglaiocercus coelestis,Violet-tailed Sylph,null,1,null,null
9,UTPL_A0011,48,Aglaiocercus kingi,Long-tailed Sylph,null,1,null,null
10,UTPL_A0012,62,Agriornis albicauda, White-tailed shrike-tyrant,null,2,null,null
11,UTPL_A0013,38,Amaurolimnas concolor,Uniform Crake,null,0,null,null
12,UTPL_A0014,76,Amaurospiza concolor,Blue Seedeater,null,0,null,null
13,UTPL_A0015,48,Amazilia amabilis,Blue-chested Hummingbird,null,0,null,null
14,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
15,UTPL_A0017,48,Amazilia franciae,Andean Emerald,null,1,null,null
16,UTPL_A0018,48,Amazilia rosenbergi,Purple-chested Hummingbird,null,0,B-Ch,null
17,UTPL_A0019,48,Amazilia tzacatl,Rufous-tailed Hummingbird,null,1,null,null
18,UTPL_A0020,56,Amazona autumnalis,Red-lored Parrot,null,0,null,null
19,UTPL_A0021,56,Amazona farinosa,Mealy Amazon,null,0,null,null
20,UTPL_A0022,78,Amblycercus holosericeus,Yellow-billed Cacique,null,1,null,null
21,UTPL_A0024,63,Ampelioides tschudii,Scaled Fruiteater,null,1,null,null
22,UTPL_A0025,63,Ampelion rubrocristatus,Red-crested Cotinga,null,1,null,null
23,UTPL_A0027,61,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,null,1,null,null
24,UTPL_A0028,62,Anairetes nigrocristatus,Black-crested Tit-Tyrant,null,1,S-SO,null
25,UTPL_A0029,62,Anairetes parulus,Tufted Tit-Tyrant,null,1,null,null
26,UTPL_A0031,82,Anas bahamensis,White-cheeked Pintail,null,1,null,null
27,UTPL_A0032,82,Anas cyanoptera,Cinnamon Teal,null,0,null,MB-D
28,UTPL_A0033,82,Anas discors,Blue-winged Teal,null,1,null,MB
29,UTPL_A0034,82,Anas georgica,Yellow-billed Pintail,null,0,null,null
30,UTPL_A0035,53,Andigena hypoglauca,Gray-breasted Mountain-Toucan,null,3,null,null
31,UTPL_A0036,73,Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,null,1,null,null
32,UTPL_A0037,73,Anisognathus notabilis,Black-chinned Mountain-Tanager,null,1,LOcA,null
33,UTPL_A0038,48,Anthracothorax nigricollis,Black-throated Mango,null,0,null,null
34,UTPL_A0040,40,Aphriza virgata,Surfbird,null,0,null,MB
35,UTPL_A0041,56,Ara ambiguus,Great Green Macaw,null,0,null,null
36,UTPL_A0042,56,Ara severus,Chestnut-fronted Macaw,null,0,null,null
37,UTPL_A0043,38,Aramides axillaris,Rufous-necked Wood-Rail,null,1,null,null
38,UTPL_A0044,38,Aramides wolfi,Brown Wood-Rail,null,0,B-Ch,null
39,UTPL_A0045,109,Aramus guarauna,Limpkin,null,0,null,null
40,UTPL_A0046,56,Aratinga weddellii,Dusky-headed Parakeet,null,1,null,null
41,UTPL_A0047,34,Ardea alba,Great Egret,null,1,null,MB - C ?
42,UTPL_A0048,34,Ardea cocoi,Cocoi Heron,null,1,null,null
43,UTPL_A0049,34,Ardea herodias,Great Blue Heron,null,1,null,MB - D
44,UTPL_A0050,40,Arenaria interpres,Ruddy Turnstone,null,0,null,MB
45,UTPL_A0051,75,Arremon abeillei,Black-capped Sparrow,null,1,BT - RM,null
46,UTPL_A0052,75,Arremon assimilis,Gray-browed Brush-Finch,null,0,null,null
47,UTPL_A0053,75,Arremon aurantiirostris,Orange-billed Sparrow,null,1,null,null
48,UTPL_A0054,75,Arremon brunneinucha,Chestnut-capped Brush-Finch,Atlapetes brunneinucha,1,null,null
49,UTPL_A0056,75,Arremonops conirostris,Black-striped Sparrow,null,1,null,null
50,UTPL_A0057,43,Asio flammeus,Short-eared Owl,null,0,null,null
51,UTPL_A0059,61,Asthenes flammulata,Many-striped Canastero,null,1,null,null
52,UTPL_A0060,61,Asthenes griseomurina,Mouse-colored Thistletail,Schizoeaca griseomurina�,1,LVI,null
53,UTPL_A0062,79,Astragalinus psaltria,Lesser Goldfinch,null,0,null,null
54,UTPL_A0063,43,Athene cunicularia,Burrowing Owl,Speotyto cunicularia,0,null,null
55,UTPL_A0064,75,Atlapetes albiceps,White-headed Brush-Finch,null,1,BT,null
56,UTPL_A0065,75,Atlapetes latinuchus,Yellow-breasted Brush-Finch,null,1,null,null
57,UTPL_A0066,75,Atlapetes leucopterus,White-winged Brush-Finch,null,1,LVI,null
58,UTPL_A0067,75,Atlapetes pallidiceps,Pale-headed Brush-Finch,null,0,S-SO,null
59,UTPL_A0068,75,Atlapetes pallidinucha,Pale-naped Brush-Finch,null,1,null,null
60,UTPL_A0069,75,Atlapetes seebohmi,Bay-crowned Brush-Finch,null,1,S-SO,null
61,UTPL_A0071,68,Atticora tibialis,White-thighed Swallow,null,0,null,null
62,UTPL_A0072,62,Attila spadiceus,Bright-rumped Attila,null,0,null,null
63,UTPL_A0073,62,Attila torridus,Ochraceous Attila,null,2,BT,null
64,UTPL_A0075,53,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,null,1,null,null
65,UTPL_A0076,53,Aulacorhynchus prasinus,Emerald Toucanet,null,1,null,null
66,UTPL_A0077,61,Automolus ochrolaemus,Buff-throated Foliage-gleaner,null,0,null,null
