id,nombre,dependencia
1,Aves,1
2,Tinamiformes,1
3,Galliformes,1
4,Ciconiiformes,1
5,Suliformes,1
6,Pelecaniformes,1
7,Cathartiformes,1
8,Accipitriformes,1
9,Gruiformes,1
10,Eurypygiformes,1
11,Charadriiformes,1
12,Columbiformes,1
13,Cuculiformes,1
14,Strigiformes,1
15,Caprimulgiformes,1
16,Apodiformes,1
17,Trogoniformes,1
18,Coraciiformes,1
19,Galbuliformes,1
20,Piciformes,1
21,Falconiformes,1
22,Psittaciformes,1
23,Passeriformes,1
24,Anseriformes,1
25,Podicipediformes,1
26,Phoenicopteriformes,1
27,Procellariiformes,1
28,Phaethontiformes,1
29,Tinamidae,2
30,Cracidae,3
31,Odontophoridae,3
32,Ciconiidae,4
33,Fregatidae,5
34,Ardeidae,6
35,Cathartidae,7
36,Pandionidae,8
37,Accipitridae,8
38,Rallidae,9
39,Eurypygidae,10
40,Scolopacidae,11
41,Columbidae,12
42,Cuculidae,13
43,Strigidae,14
44,Steatornithidae,15
45,Nyctibiidae,15
46,Caprimulgidae,15
47,Apodidae,16
48,Trochilidae,16
49,Trogonidae,17
50,Alcedinidae,18
51,Momotidae,18
52,Bucconidae,19
53,Ramphastidae,20
54,Picidae,20
55,Falconidae,21
56,Psittacidae,22
57,Thamnophilidae,23
58,Melanopareiidae,23
59,Grallariidae,23
60,Formicariidae,23
61,Furnariidae,23
62,Tyrannidae,23
63,Cotingidae,23
64,Pipridae,23
65,Tityridae,23
66,Vireonidae,23
67,Corvidae,23
68,Hirundinidae,23
69,Troglodytidae,23
70,Polioptilidae,23
71,Cinclidae,23
72,Turdidae,23
73,Thraupidae,23
74,Incertae Sedis,23
75,Emberizidae,23
76,Cardinalidae,23
77,Parulidae,23
78,Icteridae,23
79,Fringillidae,23
80,Tytonidae,14
81,Rhinocryptidae,23
82,Anatidae,24
83,Phalacrocoracidae,5
84,Mimidae,23
85,Charadriidae,11
86,Podicipedidae,25
87,Phoenicopteridae,26
88,Pelecanidae,6
89,Threskiornithidae,6
90,Recurvirostridae,11
91,Jacanidae,11
92,Laridae,11
93,Diomedeidae,27
94,Procellariidae,27
95,Hydrobatidae,27
96,Phaethontidae,28
97,Sulidae,5
98,Passeridae,23
99,Haematopodidae,11
100,Burhinidae,11
101,Thinocoridae,11
102,Rynchopidae,11
103,Capitonidae,20
104,Galbulidae,19
105,Conopophagidae,23
106,Motacillidae,23
107,Pelecanoididae,27
108,Anhingidae,5
109,Aramidae,9
110,Anhimidae,24
111,Semnornithidae,20
